Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent.Rate..m.s.,Density_mg_m3,Flag
2020-06-18T07:01:02Z,4.563,11.1382,1.3358,3.7879,56.583,40.860063,0.0633,0.659,6.524,141.0678,0.12366,4.272909427817614,0.027,999.6362,0
2020-06-18T07:01:02Z,4.571,11.1335,1.3216,3.7623,56.739,40.959049,0.0603,0.636,6.522,140.3174,0.12369,4.286044336169279,0.033,999.6368,0
2020-06-18T07:01:02Z,4.584,11.1269,1.3241,3.7084,56.809,40.996822,0.0583,0.67,6.522,139.9295,0.12375,4.292459783959437,0.036,999.6376,0
2020-06-18T07:01:02Z,4.598,11.1165,1.337,3.7539,56.909,41.062854,0.053900000000000003,0.739,6.521,139.7334,0.12373,4.301742721251799,0.037,999.6388,0
2020-06-18T07:01:02Z,4.61,11.104,1.3636,3.9006,57.079,41.186147,0.0507,0.791,6.521,139.1502,0.12371,4.316935163442721,0.036,999.6402,0
2020-06-18T07:01:02Z,4.618,11.0911,1.3889,3.9715,57.206,41.281483,0.0467,0.817,6.521,138.2991,0.12371,4.328710099928669,0.034,999.6416,0
2020-06-18T07:01:02Z,4.623,11.0792,1.3939,3.9592,57.26,41.32689,0.0503,0.811,6.521,137.2718,0.12369,4.334470808466789,0.03,999.6428,0
2020-06-18T07:01:02Z,4.629,11.073,1.3868,4.0598,57.289,41.354312,0.0584,0.795,6.521,136.1939,0.12367,4.3375433952973514,0.027,999.6434,0
2020-06-18T07:01:02Z,4.636,11.0746,1.3783,4.2611,57.288,41.359129,0.061,0.792,6.521,135.2471,0.12365,4.337274406647329,0.026,999.6435,0
2020-06-18T07:01:02Z,4.643,11.078,1.3777,4.4022,57.322,41.385137,0.0642,0.773,6.52,134.2551,0.12365,4.339627122186231,0.026,999.6432,0
2020-06-18T07:01:02Z,4.65,11.084,1.3891,4.427,57.457,41.478348,0.0629,0.744,6.52,133.3197,0.12367,4.349847880865864,0.027,999.6427,0
2020-06-18T07:01:02Z,4.657,11.0906,1.3917,4.218,57.637,41.59744,0.0598,0.72,6.519,132.5422,0.12369,4.36363868557482,0.027,999.642,0
2020-06-18T07:01:02Z,4.664,11.0961,1.3803,3.8662,57.867,41.745937,0.0622,0.694,6.519,131.7364,0.12374,4.3816057097773085,0.027,999.6414,0
2020-06-18T07:01:02Z,4.671,11.0992,1.3758,3.7087,58.082,41.877276,0.0599,0.686,6.519,131.0628,0.12374,4.39864415867383,0.027,999.6412,0
2020-06-18T07:01:02Z,4.678,11.0936,1.3852,3.7221,58.171,41.915851,0.0565,0.692,6.518,130.6792,0.12368,4.4065167511613765,0.026,999.6418,0
2020-06-18T07:01:02Z,4.685,11.0846,1.3885,3.788,58.258,41.958404,0.0563,0.683,6.517,130.1956,0.12369,4.414635991041352,0.024,999.6428,0
2020-06-18T07:01:02Z,4.692,11.0705,1.3774,3.8873,58.438,42.07436,0.0527,0.688,6.517,129.5174,0.12374,4.430908654629228,0.024,999.6444,0
2020-06-18T07:01:02Z,4.697,11.0478,1.3749,3.9274,58.597,42.175223,0.0519,0.719,6.516,128.6741,0.12377,4.446527269058715,0.025,999.6469,0
2020-06-18T07:01:02Z,4.7,11.0232,1.3777,3.9294,58.691,42.225721,0.0547,0.734,6.515,127.7428,0.12377,4.4571182690661075,0.026,999.6494,0
2020-06-18T07:01:02Z,4.705,11.0057,1.3736,3.9457,58.823,42.304034,0.0524,0.737,6.515,127.1194,0.12377,4.469953338739226,0.029,999.6512,0
2020-06-18T07:01:02Z,4.714,10.9969,1.3914,3.9525,59.004,42.423791,0.0512,0.748,6.515,126.8151,0.12369,4.485730346069846,0.032,999.6522,0
2020-06-18T07:01:02Z,4.724,10.987,1.4317,3.9432,59.16,42.531032,0.0571,0.765,6.514,126.6441,0.1236,4.499619003023249,0.037,999.6533,0
2020-06-18T07:01:02Z,4.734,10.9701,1.4508,3.9362,59.335,42.648462,0.0567,0.782,6.513,126.1714,0.12363,4.515919654909944,0.04,999.655,0
2020-06-18T07:01:02Z,4.745,10.9549,1.4498,3.9369,59.527,42.764444,0.0562,0.776,6.512,125.3153,0.12368,4.533414408919671,0.041,999.6567,0
2020-06-18T07:01:02Z,4.757,10.9456,1.4486,3.8824,59.696,42.854152,0.0577,0.739,6.51,124.7251,0.12366,4.548326131921807,0.04,999.6578,0
2020-06-18T07:01:02Z,4.769,10.9435,1.4461,3.7586,59.898,42.971292,0.0589,0.714,6.51,124.5415,0.12366,4.565049025938536,0.039,999.6581,0
2020-06-18T07:01:02Z,4.779,10.9418,1.4486,3.7092,60.111,43.101552,0.061,0.726,6.509,124.4724,0.12369,4.582625882553652,0.037,999.6584,0
2020-06-18T07:01:02Z,4.787,10.9204,1.4493,3.7321,60.308,43.22292,0.0612,0.734,6.508,124.1479,0.12369,4.6013591300314065,0.035,999.6607,0
2020-06-18T07:01:02Z,4.794,10.8893,1.4261,3.727,60.528,43.359506,0.057,0.719,6.508,123.5423,0.12372,4.623212328620271,0.033,999.6638,0
2020-06-18T07:01:02Z,4.802,10.8657,1.3966,3.7156,60.728,43.483319,0.0532,0.699,6.507,122.9147,0.12377,4.642526185585291,0.031,999.6663,0
